DATE_ID,erbs,EUtranCellFDD,DCVECTOR_INDEX,pmTaInit2Distr,Distance,NE,Sector
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,8,275,4.45 - 5.70 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,9,0,5.7 - 7.18 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,10,0,7.18 - 8.74 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,11,0,8.74 - 10.5 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,12,0,10.5 - 12.5 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,13,0,12.5 - 14.6 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,14,0,14.6 - 16.9 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,15,0,16.9 - 19.4 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,16,0,19.4 - 22 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,17,0,22 - 24.8 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,18,0,24.8 - 27.9 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT1_TETEHOSIIMT06,19,0,27.9 - 31.1 km,MT,6
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,0,302,0 - <0.08 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,1,114,0.08 - 0.23 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,2,90,0.23 - 0.63 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,3,1159,0.63 - 1.01 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,4,3714,1.01 - 1.64 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,5,7280,1.64 - 2.42 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,6,62467,2.42 - 3.36 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,7,5769,3.36 - 4.45 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,8,15591,4.45 - 5.70 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,9,38434,5.7 - 7.18 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,10,0,7.18 - 8.74 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,11,0,8.74 - 10.5 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,12,0,10.5 - 12.5 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,13,0,12.5 - 14.6 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,14,0,14.6 - 16.9 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,15,0,16.9 - 19.4 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,16,0,19.4 - 22 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,17,0,22 - 24.8 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,18,0,24.8 - 27.9 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT2,19,0,27.9 - 31.1 km,MT,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,0,11,0 - <0.08 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,1,28,0.08 - 0.23 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,2,254,0.23 - 0.63 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,3,203,0.63 - 1.01 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,4,756,1.01 - 1.64 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,5,6606,1.64 - 2.42 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,6,3766,2.42 - 3.36 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,7,1807,3.36 - 4.45 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,8,1901,4.45 - 5.70 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,9,1174,5.7 - 7.18 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,10,9,7.18 - 8.74 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,11,1807,8.74 - 10.5 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,12,344,10.5 - 12.5 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,13,843,12.5 - 14.6 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,14,86,14.6 - 16.9 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,15,0,16.9 - 19.4 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,16,0,19.4 - 22 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,17,0,22 - 24.8 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,18,0,24.8 - 27.9 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001MT3,19,0,27.9 - 31.1 km,MT,3
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,0,86,0 - <0.08 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,1,2114,0.08 - 0.23 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,2,9036,0.23 - 0.63 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,3,3914,0.63 - 1.01 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,4,976,1.01 - 1.64 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,5,1174,1.64 - 2.42 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,6,877,2.42 - 3.36 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,7,3455,3.36 - 4.45 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,8,4551,4.45 - 5.70 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,9,52,5.7 - 7.18 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,10,7345,7.18 - 8.74 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,11,0,8.74 - 10.5 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,12,1704,10.5 - 12.5 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,13,121,12.5 - 14.6 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,14,4,14.6 - 16.9 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,15,0,16.9 - 19.4 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,16,0,19.4 - 22 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,17,0,22 - 24.8 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,18,0,24.8 - 27.9 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL11,19,0,27.9 - 31.1 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,0,820,0 - <0.08 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,1,817,0.08 - 0.23 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,2,7310,0.23 - 0.63 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,3,392,0.63 - 1.01 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,4,2331,1.01 - 1.64 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,5,14805,1.64 - 2.42 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,6,77710,2.42 - 3.36 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,7,21978,3.36 - 4.45 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,8,2972,4.45 - 5.70 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,9,26302,5.7 - 7.18 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,10,3246,7.18 - 8.74 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,11,519,8.74 - 10.5 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,12,1697,10.5 - 12.5 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,13,5003,12.5 - 14.6 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,14,25052,14.6 - 16.9 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,15,0,16.9 - 19.4 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,16,0,19.4 - 22 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,17,0,22 - 24.8 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,18,0,24.8 - 27.9 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL12,19,0,27.9 - 31.1 km,RL,1
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,0,319,0 - <0.08 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,1,530,0.08 - 0.23 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,2,23,0.23 - 0.63 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,3,233,0.63 - 1.01 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,4,12644,1.01 - 1.64 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,5,2396,1.64 - 2.42 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,6,58380,2.42 - 3.36 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,7,4891,3.36 - 4.45 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,8,8599,4.45 - 5.70 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,9,8201,5.7 - 7.18 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,10,0,7.18 - 8.74 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,11,0,8.74 - 10.5 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,12,0,10.5 - 12.5 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,13,0,12.5 - 14.6 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,14,0,14.6 - 16.9 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,15,0,16.9 - 19.4 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,16,0,19.4 - 22 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,17,0,22 - 24.8 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,18,0,24.8 - 27.9 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL21,19,0,27.9 - 31.1 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,0,155,0 - <0.08 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,1,92,0.08 - 0.23 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,2,295,0.23 - 0.63 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,3,1963,0.63 - 1.01 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,4,5223,1.01 - 1.64 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,5,26504,1.64 - 2.42 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,6,4409,2.42 - 3.36 km,RL,2
4/4/2026 0:00,E_KGS001MM1_TETEHOSII,KGS001RL1_TETEHOSIIRL22,7,5031,3.36 - 4.45 km,RL,2
