Site_ID,site,Cell_Name,ci,band
BIR344,BIR344MM1-KUTA-TRIENG,BIR344ML2,21,1850
BIR344,BIR344MM1-KUTA-TRIENG,BIR344ML3,31,1850
BIR350,BIR350MM1-PETUA-RAJA,BIR350MR2,23,500
BIR350,BIR350MM1-PETUA-RAJA,BIR350MR3,33,500
BIR354,N_BIR354MM2_TAMBUN,BIR354MR1,13,500
BIR354,N_BIR354MM2_TAMBUN,BIR354MR2,23,500
BIR354,N_BIR354MM2_TAMBUN,BIR354MR3,33,500
BIR364,BIR364MM1-CALOK,BIR364ML1,11,1850
BIR364,BIR364MM1-CALOK,BIR364ML2,21,1850
BIR364,BIR364MM1-CALOK,BIR364ML3,31,1850
BIR381,BIR381MM1-GLEE-KAPAI,BIR381ML1,11,1850
BIR381,BIR381MM1-GLEE-KAPAI,BIR381ML2,21,1850
BIR381,BIR381MM1-GLEE-KAPAI,BIR381ML3,31,1850
BIR382,BIR382MM1-DUSUN-TIMUR,BIR382MR1,13,500
BIR382,BIR382MM1-DUSUN-TIMUR,BIR382MR2,23,500
BIR382,BIR382MM1-DUSUN-TIMUR,BIR382MR3,33,500
BIR383,BIR383MM1-MEUNASAH-BLANG,BIR383ML1,11,1850
BIR383,BIR383MM1-MEUNASAH-BLANG,BIR383ML2,21,1850
BIR383,BIR383MM1-MEUNASAH-BLANG,BIR383ML3,31,1850
BIR385,BIR385MM1-KOTA-JUANG,BIR385ML1,11,1850
BIR385,BIR385MM1-KOTA-JUANG,BIR385ML2,21,1850
BIR385,BIR385MM1-KOTA-JUANG,BIR385ML3,31,1850
BIR409,BIR409MM1-COT-TUNONG,BIR409ML1,11,1850
BIR409,BIR409MM1-COT-TUNONG,BIR409ML2,21,1850
BIR409,BIR409MM1-COT-TUNONG,BIR409ML3,31,1850
BIR422,BIR422MM1-KOTA-JUANG-3,BIR422ME1,14,38750
BIR422,BIR422MM1-KOTA-JUANG-3,BIR422ME2,24,38750
BIR422,BIR422MM1-KOTA-JUANG-3,BIR422ME3,34,38750
BIR564,BIR564MM1-PALOH-GADENG,BIR564ML1,11,1850
BIR564,BIR564MM1-PALOH-GADENG,BIR564ML2,21,1850
BIR564,BIR564MM1-PALOH-GADENG,BIR564ML3,31,1850
BIR585,BIR585MM2-BIREUN-6,BIR585MR1,13,500
BIR585,BIR585MM2-BIREUN-6,BIR585MR2,23,500
BIR585,BIR585MM2-BIREUN-6,BIR585MR3,33,500
CAG038,CAG038MM1-TEUPINASAN,CAG038ML1,11,1850
CAG038,CAG038MM1-TEUPINASAN,CAG038ML2,21,1850
CAG038,CAG038MM1-TEUPINASAN,CAG038ML3,31,1850
DLS207,DLS207MM1-LINTANGNUHU,DLS207ML1,11,1850
DLS207,DLS207MM1-LINTANGNUHU,DLS207ML2,21,1850
DLS207,DLS207MM1-LINTANGNUHU,DLS207ML3,31,1850
DLS217,DLS217MM1-SITOLU-BAHAL,DLS217ML1,11,1850
DLS217,DLS217MM1-SITOLU-BAHAL,DLS217ML2,21,1850
DLS217,DLS217MM1-SITOLU-BAHAL,DLS217ML3,31,1850
DLS369,DLS369MM1-TUMBA-JAE,DLS369ML1,11,1850
DLS369,DLS369MM1-TUMBA-JAE,DLS369ML2,21,1850
DLS369,DLS369MM1-TUMBA-JAE,DLS369ML3,31,1850
DLS702,DLS702MM1-SINGAMARONSANG,DLS702ML1,11,1850
DLS702,DLS702MM1-SINGAMARONSANG,DLS702ML2,21,1850
DLS702,DLS702MM1-SINGAMARONSANG,DLS702ML3,31,1850
GST261,GST261MM1-RINO-HILINA,GST261ML1,11,1850
GST261,GST261MM1-RINO-HILINA,GST261RL1_RINOHILINAARL21,21,1850
GST261,GST261MM1-RINO-HILINA,GST261ML3,31,1850
GST322,GST322MM1-PERUM-FODO,GST322ML1,11,1850
GST322,GST322MM1-PERUM-FODO,GST322ML2,21,1850
GST322,GST322MM1-PERUM-FODO,GST322ML3,31,1850
GST454,GST454MM1-PELUD-BINAKA,GST454ML1,11,1850
GST454,GST454MM1-PELUD-BINAKA,GST454ML2,21,1850
GST454,GST454MM1-PELUD-BINAKA,GST454ML3,31,1850
GST459,GST459MM1-FAEKHU,GST459ML1,11,1850
GST459,GST459MM1-FAEKHU,GST459ML2,21,1850
GST459,GST459MM1-FAEKHU,GST459ML3,31,1850
